Date,Close,High,Low,Open,Volume,Return,LogReturn,MA_5,MA_20,STD_5,STD_20,Momentum,Volatility,RSI,MACD_Hist,BB_Width,ATR,ATR_norm,GARCH_Vol,Regime,Signal,ML_Proba,ML_Signal
3/12/2020,9590.150391,10040.75,9508,10039.9502,1343500,-0.083019388,-0.08666895,10551.69023,11466.03511,642.159835,699.1350665,-2088.349609,0.029713842,12.59699076,-178.4047122,23.77221297,287.2794163,0.029955674,0.014117735,3,1,0.87148744,1
3/13/2020,9955.200195,10159.40039,8555.150391,9107.599609,1388000,0.038065076,0.037358477,10288.93027,11353.73511,535.1471985,753.1315538,-1678.099609,0.034650393,24.04825954,-177.2953904,25.86151007,381.3487437,0.038306487,0.014117735,3,-1,0.24413538,0
3/16/2020,9197.400391,9602.200195,9165.099609,9587.799805,897700,-0.076121001,-0.079174169,9930.520313,11204.87261,548.6234865,867.8349419,-2004.349609,0.039311825,18.6002966,-212.7093012,30.19617982,410.5453039,0.044637102,0.014117735,3,-1,0.09389604,0
3/17/2020,8967.049805,9403.799805,8915.599609,9285.400391,935600,-0.025045184,-0.025364152,9633.640234,11047.55259,595.8543221,973.2462806,-2165.700195,0.039089902,17.31613144,-235.0134263,34.34618217,416.0920818,0.046402339,0.014117735,3,-1,0.13001639,0
3/18/2020,8468.799805,9127.549805,8407.049805,9088.450195,1516600,-0.05556454,-0.057167927,9235.720117,10868.70259,571.2029643,1100.494628,-2834.5,0.038251939,14.91713738,-264.4924444,39.4758978,437.8355045,0.051699829,0.014117735,3,-1,0.18725237,0
3/19/2020,8263.450195,8575.450195,7832.549805,8063.299805,925700,-0.024247782,-0.0245466,8970.380078,10682.2501,665.7237802,1210.476393,-2987.549805,0.037426629,14.05300785,-277.628157,44.17894866,459.6258536,0.055621543,0.014117735,3,1,0.5502962,1
3/20/2020,8745.450195,8883,8178.200195,8284.450195,1071500,0.058329147,0.056691388,8728.430078,10513.22759,374.4250201,1234.066969,-2523.549805,0.046018464,25.03077947,-235.3337896,45.76405049,477.1382786,0.054558458,0.014117735,3,-1,0.29220548,0
3/23/2020,7610.25,8159.25,7583.600098,7945.700195,653500,-0.129804661,-0.139037565,8411,10289.69761,521.3829311,1335.862257,-3379.200195,0.056897647,18.90597008,-263.1836277,50.61518886,526.0462657,0.069123388,0.014117735,3,1,0.8890071,1
3/24/2020,7801.049805,8036.950195,7511.100098,7848.299805,738400,0.025071424,0.024762292,8177.8,10088.28008,468.5875848,1393.921659,-2650.400391,0.059570878,22.34531717,-248.3164893,53.86951051,526.0322537,0.067430957,0.014117735,3,1,0.8890071,1
3/25/2020,8317.849609,8376.75,7714.75,7735.149902,736900,0.066247469,0.064145446,8147.609961,9914.277539,449.6312693,1386.465005,-2140.550781,0.066214942,30.89457411,-186.0840157,54.52173077,535.7442356,0.064408983,0.014117735,3,1,0.8430577,1
3/26/2020,8641.450195,8749.049805,8304.900391,8451,865600,0.038904356,0.038166654,8223.209961,9762.425049,502.6319554,1348.875632,-948.7001953,0.064652916,35.67034601,-109.3315963,53.86863744,529.2017483,0.061239923,0.014117735,3,1,0.83941466,1
3/27/2020,8660.25,9038.900391,8522.900391,8949.099609,801500,0.002175538,0.002173175,8206.169922,9613.772559,481.5009992,1294.573903,-1294.950195,0.062754229,35.94729363,-46.70432994,52.4994554,528.2587663,0.060998097,0.014117735,3,-1,0.26910383,0
3/30/2020,8281.099609,8576,8244,8385.950195,593300,-0.043780536,-0.044767828,8340.339844,9467.740039,349.2344893,1270.522998,-916.3007813,0.059848982,32.87349669,-21.50326372,52.31882719,520.2581401,0.062824765,0.014117735,3,1,0.94460964,1
3/31/2020,8597.75,8678.299805,8358,8529.349609,712700,0.038237723,0.037524778,8499.679883,9340.990039,184.6205001,1221.165499,-369.2998047,0.061265964,37.66727854,23.3720944,50.96868289,511.4682869,0.059488621,0.014117735,3,-1,0.11428247,0
4/1/2020,8253.799805,8588.099609,8198.349609,8584.099609,506300,-0.040004675,-0.040826864,8486.869922,9188.515039,201.81254,1151.658045,-215,0.059950388,34.76322563,36.01522126,48.86523699,503.4634372,0.060997777,0.014117735,3,-1,0.11482297,0
4/3/2020,8083.799805,8356.549805,8055.799805,8356.549805,697000,-0.020596574,-0.020811642,8375.339844,9030.155029,244.5858091,1067.831115,-179.6503906,0.059803243,33.39287368,38.81204551,46.10299706,488.983906,0.060489364,0.014117735,3,1,0.8599334,1
4/7/2020,8792.200195,8819.400391,8360.950195,8446.299805,814200,0.087632105,0.084002952,8401.729883,8906.315039,286.5333561,929.1329104,46.75,0.0636044,43.40457595,91.25978422,40.67256708,506.5993831,0.057619182,0.014117735,3,-1,0.13159919,0
4/8/2020,8748.75,9131.700195,8653.900391,8688.900391,896500,-0.004941902,-0.004954154,8495.259961,8794.280029,312.4649492,789.2971268,1138.5,0.044000488,42.97786899,123.8890096,34.99145693,504.5422704,0.057670212,0.014117735,3,1,0.9374197,1
4/9/2020,9111.900391,9128.349609,8904.549805,8973.049805,742100,0.041508832,0.040670461,8598.090039,8727.302539,420.5378891,692.1271249,1310.850586,0.044723994,47.6133451,168.0518284,30.91915614,495.6177946,0.054392363,0.014117735,3,-1,0.0740356,0
4/13/2020,8993.849609,9112.049805,8912.400391,9103.950195,644000,-0.012955671,-0.013040327,8746.1,8654.075,398.736628,565.1670132,676,0.041864449,46.29581758,186.0364333,25.46114587,474.477196,0.05275574,0.014117735,3,-1,0.16448757,0
4/15/2020,8925.299805,9261.200195,8874.099609,9196.400391,879100,-0.007621854,-0.007651048,8914.4,8620.832471,148.1639002,525.3613165,283.8496094,0.040693546,45.50832959,189.4052802,23.759138,468.2360095,0.052461656,0.014117735,3,1,0.9043196,1
4/16/2020,8992.799805,9053.75,8821.900391,8851.25,719400,0.007562771,0.007534317,8954.519922,8572.712451,133.2064767,432.5930075,332.5498047,0.040702878,46.47382589,191.6873404,19.67356355,451.3512667,0.050190294,0.014117735,3,1,0.908117,1
4/17/2020,9266.75,9324,9091.349609,9323.450195,684200,0.030463282,0.030008489,9058.119922,8576.179932,134.5895823,438.1065793,985.6503906,0.037567404,50.32103307,205.9068694,19.91625532,442.7690473,0.047780403,0.014117735,3,-1,0.0767655,0
4/20/2020,9261.849609,9390.849609,9230.799805,9390.200195,726400,-0.000528814,-0.000528954,9088.109766,8590.919922,163.2283031,456.521656,664.0996094,0.036536901,50.25145509,208.5982649,20.71779383,422.5748157,0.045625316,0.014117735,3,-1,0.06745399,0
4/21/2020,8981.450195,9044.400391,8909.400391,9016.950195,655100,-0.030274667,-0.03074241,9085.629883,8616.552441,165.1018273,463.6405411,727.6503906,0.035220785,46.30605457,185.8658206,20.9782696,417.5658445,0.046492029,0.014117735,3,1,0.85243946,1
4/22/2020,9187.299805,9209.75,8946.25,9026.75,734400,0.022919418,0.022660713,9138.029883,8662.744922,141.3653888,472.5454546,1103.5,0.03381454,49.44418643,178.9975293,21.26717758,406.5611413,0.044252517,0.014117735,3,1,0.7862158,1
4/23/2020,9313.900391,9343.599609,9170.150391,9232.349609,666700,0.013779956,0.013685876,9202.25,8691.167432,131.4859643,494.3731505,521.7001953,0.021683685,51.32824012,176.9671697,22.17678334,389.9102897,0.041863266,0.014117735,3,-1,0.24451835,0
4/24/2020,9154.400391,9296.900391,9141.299805,9163.900391,659400,-0.017124942,-0.017273269,9179.780078,8768.374951,127.2390304,433.5091625,405.6503906,0.022685332,48.85784656,159.4139519,19.27529184,374.388168,0.040897072,0.014117735,3,1,0.9630144,1
4/27/2020,9282.299805,9377.099609,9250.349609,9259.700195,512800,0.013971359,0.013874659,9183.870117,8842.437451,130.8150677,383.1565177,170.3994141,0.019122025,50.89862554,151.0292985,16.89374813,363.553243,0.03916629,0.014117735,3,1,0.8540948,1
4/28/2020,9380.900391,9404.400391,9260,9389.799805,614500,0.010622431,0.010566409,9263.760156,8895.58999,92.71642233,380.2779807,387.0507813,0.018514404,52.47315774,146.616852,16.66664617,347.8994679,0.037085936,0.014117735,3,1,0.9317186,1
4/29/2020,9553.349609,9599.849609,9392.349609,9408.599609,653000,0.018383014,0.018216089,9336.970117,8941.184961,146.2897074,402.2370448,628.0498047,0.018468064,55.18019526,149.3040932,17.53915961,338.6887358,0.035452354,0.014117735,3,1,0.8430396,1
4/30/2020,9859.900391,9889.049805,9731.5,9753.5,931200,0.032088303,0.031584229,9446.170117,9001.16748,273.3602808,445.2825064,867.1005859,0.020109948,59.58680309,164.5181658,19.2867293,338.4752686,0.034328467,0.014117735,3,-1,0.16895266,0
5/4/2020,9293.5,9533.5,9266.950195,9533.5,687500,-0.057444839,-0.059160835,9473.990039,9051.7875,241.4602574,415.6774138,26.75,0.027682204,49.83706968,130.7015922,17.9037445,356.6520491,0.038376505,0.014117735,3,-1,0.13157979,0
5/5/2020,9205.599609,9450.900391,9190.75,9429.400391,725200,-0.009458266,-0.009503279,9458.65,9082.17998,258.5168836,402.7537181,-56.25,0.027867463,48.51049916,98.16513681,17.2890547,349.7590735,0.037994165,0.014117735,3,1,0.90479636,1
5/6/2020,9270.900391,9346.900391,9116.5,9226.799805,722200,0.007093593,0.007068552,9436.65,9133.03501,271.159008,353.9013829,289.4501953,0.025825169,49.58413578,77.68985221,15.10737228,341.2334533,0.036806938,0.014117735,3,-1,0.11147026,0
5/7/2020,9199.049805,9277.849609,9175.900391,9234.049805,708700,-0.00775012,-0.007780308,9365.790039,9188.79751,279.2123807,253.4967972,11.75,0.025070569,48.38855773,56.9178733,10.75562345,324.1417222,0.035236435,0.014117735,3,1,0.89644647,1
